 [KERNEL] dyn_metrics
 *** Start  initialize
 *** setup constants
 *** PI   =    3.1415926535897931
 *** EPS  =    2.2204460492503131E-016
 *** HUGE =    1.7976931348623157E+308
 *** Finish initialize
 *** Start  kernel
 ### Input ###
 +check[GRD_x           ] max=  6.3712200000000000E+06,min= -2.8628180616668505E+06,sum=  1.6166957233794562E+11
 +check[GRD_x_pl        ] max=  6.3712200000000000E+06,min= -6.3712200000000000E+06,sum= -3.6880373954772949E-07
 +check[GRD_xt          ] max=  4.0592444288400000E+13,min= -2.8414384541049926E+06,sum=  6.3080977453379920E+16
 +check[GRD_xt_pl       ] max=  6.3712200000000000E+06,min= -6.3712200000000000E+06,sum= -2.6449561119079590E-07
 +check[GRD_s           ] max=  1.5707963267948966E+00,min= -1.2566370614358098E+00,sum=  1.9488544754099312E+04
 +check[GRD_s_pl        ] max=  3.1415926535897931E+00,min= -2.5132741228746029E+00,sum=  3.1415926535791883E+00
 +check[check_GMTR_p    ] max=  3.1937623126446486E+09,min= -1.0000000000000000E+00,sum=  5.2568771941580258E+13
 +check[check_GMTR_p_pl ] max=  2.6945919723895960E+09,min= -1.0000000000000000E+00,sum=  3.0761871439307461E+10
 +check[check_GMTR_t    ] max=  1.5988904134747729E+09,min=  0.0000000000000000E+00,sum=  5.1787428410119117E+13
 +check[check_GMTR_t_pl ] max=  1.9722549493151660E+09,min=  0.0000000000000000E+00,sum=  1.9722549503025471E+10
 +check[check_GMTR_a    ] max=  6.3362880879999531E+04,min= -6.0857794015098916E+04,sum=  7.9258961023823655E+08
 +check[check_GMTR_a_pl ] max=  5.7873883883004550E+04,min= -5.7872753043726123E+04,sum= -4.3064210331067443E-07
 +check[check_OPRT_coef_] max=  7.7272073614988493E-06,min= -7.7272073608998903E-06,sum= -3.8056606892725663E-03
 +check[check_OPRT_coef_] max=  6.2151734035396485E-06,min= -6.2403951821699556E-06,sum= -5.7718744084929148E-18
 +check[check_OPRT_coef_] max=  8.1249192032461006E-06,min= -7.0395716053182478E-06,sum=  2.3097297194950381E-03
 +check[check_OPRT_coef_] max=  6.2404355542613550E-06,min= -6.2404355543568453E-06,sum=  4.2351647362717063E-21
 +check[check_OPRT_coef_] max=  7.7272073614988493E-06,min= -1.2825075745499174E-05,sum= -2.1798494541543090E-15
 +check[check_OPRT_coef_] max=  6.2151734035396485E-06,min= -6.2403951821699556E-06,sum= -1.5999013079367891E-16
 +check[check_OPRT_coef_] max=  3.5452458386961528E-10,min= -1.7726229191835529E-09,sum=  1.2288085947023176E-19
 +check[check_OPRT_coef_] max=  6.4022976414655483E-11,min= -3.2011488205192188E-10,sum= -2.5849394142282115E-26
 +check[check_OPRT_coef_] max=  3.6115131385634586E-05,min= -3.3754836603906562E-05,sum= -1.5562860020137391E-02
 +check[check_OPRT_coef_] max=  1.4672104347041053E-05,min= -1.4672104346943412E-05,sum= -5.5950893679780817E-18
 +check[check_OPRT_coef_] max=  8.2996786251001330E-06,min= -8.2996786252246621E-06,sum= -1.9028303446381690E-03
 +check[check_OPRT_coef_] max=  8.7267985478016760E-06,min= -8.7267985476920055E-06,sum= -2.8863706468874352E-18
 ### Output ###
 +check[GMTR_p          ] max=  3.1937623126446486E+09,min= -1.0000000000000000E+00,sum=  5.2568771941580258E+13
 +check[GMTR_p_pl       ] max=  2.6945919723895960E+09,min= -1.0000000000000000E+00,sum=  3.0761871439307461E+10
 +check[GMTR_t          ] max=  1.5988904134747729E+09,min=  0.0000000000000000E+00,sum=  5.1787428410119117E+13
 +check[GMTR_t_pl       ] max=  1.9722549493151660E+09,min=  0.0000000000000000E+00,sum=  1.9722549503025471E+10
 +check[GMTR_a          ] max=  6.3362880879999531E+04,min= -6.0857794015098916E+04,sum=  7.9258961023823655E+08
 +check[GMTR_a_pl       ] max=  5.7873883883004550E+04,min= -5.7872753043726123E+04,sum= -4.3064210331067443E-07
 +check[OPRT_coef_div   ] max=  7.7272073614988493E-06,min= -7.7272073608998903E-06,sum= -3.8056606892725663E-03
